source_labels,relation_1,middle_labels,relation_2,target_labels,support,candidate_rule,possible_use
Drug,DRUG_DRUG,Drug,DRUG_DRUG,Drug,50182471,"If a Drug is DRUG_DRUG-related to another Drug, and that second Drug is also DRUG_DRUG-related to a third Drug, then the first Drug may be a candidate for the third Drug (e.g., sharing similar therapeutic effects or interaction profiles).",Drug repurposing and prioritization of candidate drug–drug relationships based on network connectivity in the knowledge graph.
Drug,DRUG_DRUG,Drug,CONTRAINDICATION,Disease,3533145,"If a Drug is known to have a DRUG_DRUG relationship with another Drug that is contraindicated for a Disease, then the first Drug may be a candidate for that Disease.",Drug repurposing by transferring contraindication signals through drug–drug similarity or relatedness.
Drug,DRUG_DRUG,Drug,DRUG_PROTEIN,GeneProtein,1195375,"If a Drug is connected to another Drug via DRUG_DRUG and that related Drug is connected to a GeneProtein via DRUG_PROTEIN, then the original Drug may be a candidate for targeting that GeneProtein.",Drug target inference and drug repurposing by propagating known drug–drug similarities to predict new drug–protein interactions.
Drug,DRUG_DRUG,Drug,INDICATION,Disease,262442,"If a Drug is known to be DRUG_DRUG with another Drug and that related Drug has an INDICATION for a Disease, then the first Drug may be a candidate for that Disease",Drug repurposing by leveraging similarity or relatedness between drugs to infer potential indications for diseases
Drug,CANDIDATE_FOR,Disease,DISEASE_PROTEIN,GeneProtein,249268,"If a Drug is a candidate for a Disease and that Disease is associated with a GeneProtein, then the Drug may be a candidate for the GeneProtein.",Prioritize drug–gene targets for mechanistic hypotheses and support drug repurposing or target identification.
Drug,DRUG_DRUG,Drug,CANDIDATE_FOR,Disease,134146,"If a Drug is known to have a DRUG_DRUG relationship with another Drug, and that related Drug is a candidate for a Disease, then the first Drug may be a candidate for the Disease.",Drug repurposing and prioritization of candidate therapies based on similarity or relatedness between drugs.
Drug,DRUG_DRUG,Drug,OFF_LABEL_USE,Disease,73945,"If a Drug is known to have a DRUG_DRUG relationship with another Drug, and that related Drug is associated with OFF_LABEL_USE for a Disease, then the original Drug may be a candidate for off-label use in that Disease.",Drug repurposing by leveraging similarity or interaction links between drugs to identify candidates for off-label treatment of diseases.
Drug,CANDIDATE_FOR,Disease,CONTRAINDICATION,Drug,71536,"If a Drug is a candidate for a Disease and that Disease is a contraindication for another Drug, then the first Drug may be a candidate for the second Drug.",Drug repurposing and contraindication-aware candidate prioritization
Drug,CANDIDATE_FOR,Disease,DISEASE_PHENOTYPE_POSITIVE,Phenotype,61700,"If a Drug is a candidate for a Disease and that Disease has a positive association with a Phenotype, then the Drug may be a candidate for treating or influencing that Phenotype.",Drug repurposing and phenotype-target prioritization by propagating disease–phenotype evidence to candidate drugs.
Drug,CANDIDATE_FOR,Disease,HAS_PHENOTYPE_SIGNAL,Phenotype,61700,"If a Drug is a candidate for a Disease and that Disease has a phenotype signal associated with a Phenotype, then the Drug may be a candidate for the Phenotype.",Phenotype-driven drug repurposing and prioritization by linking disease candidacy to phenotype signals.
